date,daily_return,num_stocks
2026-02-06,0.0027045121203350298,803
2026-02-09,0.042490332615295744,11
2026-02-10,0.030031514036052424,12
2026-02-11,-0.0010870516044491098,890
2026-02-12,-0.005768127170308382,535
2026-02-13,-0.011267481395181099,395
2026-02-24,0.011303885824922586,107
2026-02-25,0.014506615050179503,660
2026-02-26,-0.0014924428936350326,209
2026-02-27,0.011344743090939904,140
2026-03-02,0.0076297247029647654,76
2026-03-03,-0.025689284898296645,94
2026-03-04,0.009315772516068457,35
2026-03-05,0.014862804413386803,220
2026-03-06,0.0105994117002896,382
2026-03-09,-0.006822570623492732,586
2026-03-10,0.010187974841760579,228
2026-03-11,0.0014872811088870578,425
2026-03-12,0.013274883185671042,114
2026-03-13,-0.003617304225371741,946
2026-03-16,-0.002513500299647638,310
2026-03-17,-0.030229055821968418,197
2026-03-18,0.014283835043441726,501
2026-03-19,-0.01018785700911791,43
2026-03-20,-0.027846597540168026,277
2026-03-23,-0.020875163372651613,162
2026-03-24,0.037456989169673105,78
2026-03-25,0.041326947515436994,49
2026-03-26,-0.01645574550410959,399
2026-03-27,-0.004689682840467669,81
2026-03-30,0.0032899640092057063,438
2026-03-31,-0.00895301780981702,242
2026-04-01,0.020129690781956873,1627
2026-04-02,-0.002961918805860927,214
2026-04-03,-0.02096281514173649,768
2026-04-07,0.011744447108114453,830
2026-04-08,0.04632131708439162,1686
2026-04-09,-0.008045693016030168,77
2026-04-10,-0.003962703952289397,78
2026-04-13,0.005802848211931707,336
2026-04-14,0.010827412046545441,224
2026-04-15,-0.00700332201813827,1097
2026-04-16,0.007913965217844833,98
2026-04-17,0.01697434008118461,190
2026-04-20,0.003626836257424835,216
2026-04-21,0.0005009062470004757,196
2026-04-22,0.006210067624198174,1399
2026-04-23,0.0024952571384048495,182
2026-04-24,-0.0035675428697132055,713
2026-04-27,0.003385988023577185,122
2026-04-28,0.005806567993936714,139
2026-04-29,0.02114284562785395,195
2026-04-30,0.011264974714694703,24
2026-05-06,-0.0018269869763964694,42
2026-05-07,0.014066858711971261,1091
2026-05-08,0.017520410598632487,455
2026-05-11,0.007236045887308683,1634
2026-05-12,-0.011008735173441744,851
2026-05-13,0.017795234160293175,194
2026-05-14,-0.04434422204781976,23
2026-05-15,-0.0023200281958652984,1459
2026-05-18,-0.0017516616433033753,110
2026-05-19,0.02370041812417241,56
2026-05-20,-0.0024390865427241044,347
2026-05-21,-0.029740147738150494,321
2026-05-22,0.008715776558716167,1026
2026-05-25,-0.05236469067572817,1086
2026-05-26,-0.024841018380536848,994
2026-05-27,-0.034864498159876744,136
2026-05-28,0.00600216684001774,1294
2026-05-29,-0.02211558379397955,1073
