ts_code,ln_cap,beta,momentum_20d,volatility_60d,turnover_20d,pe_ttm,pb,roe,debt_ratio,eps_growth
000001.SZ,16.84687642805369,0.5201543915874272,-0.036101083032491,0.010510533578381,0.4917,4.8132,0.4466,0.0,0.0,0.0
000002.SZ,15.233310000124904,1.5031834254368337,-0.1128205128205128,0.0193101164959983,0.8918,0.0,0.3735,0.0,0.0,0.0
000004.SZ,0.0,0.0619356414289755,-0.4523809523809524,0.0405528289611187,0.0,0.0,0.0,0.0,0.0,0.0
000006.SZ,14.199953310009471,1.9697394776057588,0.125129265770424,0.035459576025618,3.5696,0.0,2.7357,0.0,0.0,0.0
000007.SZ,12.97542887807178,1.6339882314743148,-0.0924981791697013,0.0379952745808269,8.9416,0.0,24.1034,0.0,0.0,0.0
000008.SZ,13.475400446352566,1.5049143512620815,-0.0296296296296296,0.0296121628930763,1.0638,0.0,3.2976,0.0,0.0,0.0
000009.SZ,14.509392986563125,1.165492087317495,-0.1261261261261262,0.019743437010507,0.6609,385.4462,1.9954,0.0,0.0,0.0
000010.SZ,12.454390492821318,0.9104704912326798,-0.4282051282051282,0.044406885272645,4.5965,0.0,8.7106,0.0,0.0,0.0
000011.SZ,13.018249181655978,1.289399437973853,-0.096774193548387,0.0215510875300702,0.7447,2740.3847,1.3385,0.0,0.0,0.0
000012.SZ,14.107200047583012,0.814951976146586,-0.0286975717439293,0.0289681035721177,6.4192,1200.0415,1.0271,0.0,0.0,0.0
000014.SZ,12.525280843603287,1.2971877665991265,-0.1418867924528302,0.0267624834720401,2.19,0.0,1.9929,0.0,0.0,0.0
000016.SZ,13.58562304794479,1.566173334151632,0.0122699386503067,0.0331293436937815,1.7307,0.0,0.0,0.0,0.0,0.0
000017.SZ,12.882901393516898,1.497700700699136,-0.1215384615384615,0.0193918566411084,1.451,95.1926,10.0815,0.0,0.0,0.0
000019.SZ,13.56146598237766,1.0492057754939026,-0.1426751592356687,0.0289015060045162,2.4688,35.7713,1.5349,0.0,0.0,0.0
000020.SZ,12.832163420139365,0.3737527552926621,-0.1728240450845334,0.0421579679288291,4.2414,107.734,8.4189,0.0,0.0,0.0
000021.SZ,15.597174478919456,2.4021210071209325,0.307798960138648,0.0361748800466031,12.1496,49.542,4.4458,0.0,0.0,0.0
000025.SZ,13.371433168682548,1.176643768059375,-0.0876762722256283,0.0161284050236146,0.7714,45.1973,3.4486,0.0,0.0,0.0
000026.SZ,13.851580194281649,1.1452850328250723,0.3604898828541,0.0355009342473959,6.5606,96.8099,3.051,0.0,0.0,0.0
000027.SZ,15.0618682071602,1.1055192190849683,0.064046579330422,0.0234996958207301,0.8341,17.3787,1.0395,0.0,0.0,0.0
000028.SZ,14.096640625307147,0.691815628906315,-0.0793036750483559,0.0134662917592423,0.3661,12.0927,0.701,0.0,0.0,0.0
000029.SZ,14.763196850807356,1.6363854725477236,0.2794781736076267,0.0331115507133621,2.4563,1092.7384,7.1393,0.0,0.0,0.0
000030.SZ,13.604828918465346,1.139707561519131,-0.1663716814159292,0.026720436926645,0.631,12.1989,0.9491,0.0,0.0,0.0
000031.SZ,13.93913226778511,1.5556951396709269,-0.089655172413793,0.0224650032824832,0.8109,0.0,1.1065,0.0,0.0,0.0
000032.SZ,14.662206850788849,2.0290368308897277,0.0555555555555556,0.0307066070507547,3.1198,0.0,3.157,0.0,0.0,0.0
000034.SZ,14.89923361690661,1.9756112630034997,-0.2042157131125102,0.0466589760705896,5.8376,54.5665,2.6393,0.0,0.0,0.0
000035.SZ,14.173487493963371,1.9425523535217224,-0.1418338108882521,0.0346608404454001,1.3971,49.484,1.3295,0.0,0.0,0.0
000036.SZ,13.545902019310612,1.8610998401542416,0.0666666666666668,0.0341702847275953,1.8463,84.4315,1.4849,0.0,0.0,0.0
000037.SZ,13.298219423423552,0.9688055682455922,-0.1324561403508771,0.042800196882483,4.6659,32.1592,3.5276,0.0,0.0,0.0
000039.SZ,15.53299080714319,2.333528254852275,-0.0898678414096915,0.0380752370489425,3.5056,0.0,1.1923,0.0,0.0,0.0
000042.SZ,13.410285369673048,0.9774476291842944,0.1231802911534154,0.0254684523966271,0.6919,0.0,2.9423,0.0,0.0,0.0
000045.SZ,13.334175215969376,1.6564780017698495,0.0082644628099173,0.0286921632395344,2.2348,88.5796,2.0585,0.0,0.0,0.0
000048.SZ,13.489385800272986,1.150270301354361,-0.0896321070234113,0.0400815846575599,1.213,0.0,1.9217,0.0,0.0,0.0
000049.SZ,13.868747828794628,1.0933086511104555,-0.0748987854251011,0.0247518443971661,3.015,32.5996,1.551,0.0,0.0,0.0
000050.SZ,14.476363137012244,1.5503589473851245,-0.0501792114695339,0.0243485313271624,3.859,0.0,0.7209,0.0,0.0,0.0
000055.SZ,12.86235314353141,1.5596821474582083,0.0558823529411764,0.0223934591907122,1.7968,0.0,0.6897,0.0,0.0,0.0
000056.SZ,11.911698603043956,1.943618458223972,-0.3297872340425531,0.0392367670545804,6.5052,0.0,0.0,0.0,0.0,0.0
000058.SZ,13.74642958552512,1.4519927976211726,-0.0465408805031446,0.0183271896344297,0.6164,131.0382,4.5801,0.0,0.0,0.0
000059.SZ,13.53226985454858,0.8099720828665785,-0.109640831758034,0.0240852626861687,1.2282,0.0,0.773,0.0,0.0,0.0
000060.SZ,15.028037238564291,2.6111460969837617,0.1148748159057437,0.0390133814437655,4.0178,32.5666,1.6831,0.0,0.0,0.0
000061.SZ,14.07493254610193,1.14805923527302,-0.1339522546419098,0.0187462171445771,0.6939,29.9322,1.4996,0.0,0.0,0.0
000062.SZ,15.102532771116511,1.7278642416351444,0.1671722278395686,0.0445699939068737,5.6021,64.8806,5.3561,0.0,0.0,0.0
000063.SZ,16.651573915535685,1.86579569680058,0.0124999999999999,0.0247307987502582,2.9716,38.0971,2.2195,0.0,0.0,0.0
000065.SZ,14.163204588215743,0.9816996416738304,-0.1575673807878369,0.0357357669539423,1.8319,21.5525,1.2649,0.0,0.0,0.0
000066.SZ,15.72528984832393,2.079283425687492,0.3582089552238806,0.0412825090313391,8.7646,3346.7051,6.176,0.0,0.0,0.0
000068.SZ,12.650980089026469,1.4059370275710703,-0.0402476780185758,0.0217331575231399,1.3744,0.0,5.3312,0.0,0.0,0.0
000069.SZ,14.264905670713592,1.2267639239972532,-0.1136363636363637,0.0181201797518831,0.573,0.0,0.4588,0.0,0.0,0.0
000070.SZ,14.288504193806771,2.157673778271191,-0.09765625,0.0515147877482781,8.2588,0.0,19.89,0.0,0.0,0.0
000078.SZ,12.968918660426649,0.7014220083334405,-0.5820512820512821,0.0397767732519797,1.7705,0.0,3.4541,0.0,0.0,0.0
000088.SZ,14.661108204807224,0.8007387705037374,-0.0175438596491226,0.0128441937201574,0.8226,15.79,1.2653,0.0,0.0,0.0
000089.SZ,14.133248812099277,0.7831812559978795,-0.0247452692867539,0.0130168076911257,0.3676,22.144,1.1558,0.0,0.0,0.0
000090.SZ,13.335035556686188,1.1999764511826438,-0.1078167115902964,0.0154139334226081,0.6018,38.7074,0.55,0.0,0.0,0.0
000096.SZ,13.02951316938681,0.2954647694812194,-0.1029106029106027,0.0270203487620641,0.9651,40.4955,1.6535,0.0,0.0,0.0
000099.SZ,14.066621056452911,1.3966116169649418,-0.0905598243688254,0.0199808222892255,1.3381,41.3869,2.3324,0.0,0.0,0.0
000100.SZ,16.02496874876598,1.3861478392306426,0.0092165898617511,0.0209136518849876,10.2429,18.0031,1.4534,0.0,0.0,0.0
