date,portfolio_return,cum_return
2026-02-06,0.015978119518323036,1.015978119518323
2026-02-09,0.02122098337953411,1.0375381743065917
2026-02-10,-0.01219028295981109,1.0248902903801886
2026-02-11,-0.015673162092578338,1.0088270187319504
2026-02-12,0.0022327480689827302,1.0110794753099617
2026-02-13,-0.021038076560510627,0.9898083078996298
2026-02-24,0.031946593501586795,1.0214293115565927
2026-02-25,0.015912898937209395,1.0376832129628961
2026-02-26,0.01096232731812641,1.0490586359959206
2026-02-27,0.009188416463020911,1.05869782363758
2026-03-02,-0.009863770456325492,1.0482550713226075
2026-03-03,-0.029677457874734567,1.017145525601454
2026-03-04,-0.009266027866869144,1.0077206268165697
2026-03-05,0.0013528656661237204,1.0090839374536344
2026-03-06,0.012420073041217566,1.0216168336615281
2026-03-09,-0.00574223879833673,1.015750465842243
2026-03-10,-0.0175877678383548,0.9978856824673088
2026-03-11,0.01029567655372557,1.008159590691586
2026-03-12,0.003433124890369544,1.011620728475854
2026-03-13,-0.014173162603352527,0.9972828633982438
2026-03-16,0.0005129173946399439,0.997794387126257
2026-03-17,-0.015952554697243198,0.9818770175890231
2026-03-18,-0.007866253411330763,0.9741533241499062
2026-03-19,-0.012364686533138365,0.9621082236615779
2026-03-20,-0.0291774792980853,0.9340363308831745
2026-03-23,-0.03260088499907375,0.9035859198750953
2026-03-24,0.027817602763932758,0.9287215140572634
2026-03-25,0.0047159716307157784,0.9331013383703928
2026-03-26,-0.010772658217550041,0.92304935656979
2026-03-27,0.024514510713912262,0.9456774599108899
2026-03-30,-0.002034828785759639,0.9437531681934191
2026-03-31,-0.024320351225315503,0.9208007596729509
2026-04-01,0.0023638097927045076,0.9229773575257957
2026-04-02,-0.009831886399133924,0.9139027489976292
2026-04-03,-0.038471817339591534,0.878743249372042
2026-04-07,0.010671107058320209,0.8881204126628672
2026-04-08,0.011567601158579096,0.8983938353773439
2026-04-09,-0.01605998362969944,0.8839656450881609
2026-04-10,0.001551666828610755,0.8853372652572757
2026-04-13,0.014253539856429695,0.8979564552540027
2026-04-14,0.011158870696474588,0.9079766352292467
2026-04-15,0.004397803201309818,0.9119697377823724
2026-04-16,0.007021645262659235,0.9183732657713607
2026-04-17,0.006323187240773042,0.9241803118877532
2026-04-20,0.02424513226830015,0.9465871857892306
2026-04-21,0.007900677691695833,0.9540658660512408
2026-04-22,-0.0002097936612794842,0.9538657090801
2026-04-23,-0.021207672412849137,0.9336364375960792
2026-04-24,-0.014646238530011367,0.9199621756307369
2026-04-27,-0.007246131801278627,0.9132960084539256
2026-04-28,0.0027933975374166893,0.9158472072748731
2026-04-29,0.007452682743896557,0.9226727259525764
2026-04-30,-0.0002926904800945457,0.9224026684294473
2026-05-06,0.01474718674675415,0.9360055128364807
2026-05-07,0.01749238107869855,0.9523784779587792
2026-05-08,-0.0013494797288144725,0.9510932625086146
2026-05-11,0.019105470056625384,0.969264346356531
2026-05-12,-0.014963814494667224,0.954760454481357
2026-05-13,0.022312423629389,0.9760634742063331
2026-05-14,-0.025745446666358557,0.9509342840881733
2026-05-15,-0.012446914857741848,0.93909808601882
2026-05-18,0.014240889758680986,0.9524716783344024
2026-05-19,0.0038127566609975905,0.9561032210703834
2026-05-20,-0.006368446319410686,0.950014329031181
2026-05-21,-0.019746087606967482,0.9312552628622568
2026-05-22,0.018503369115524762,0.9484866227317722
